Tree 0
57 64 92
64 83 21
83 None 96
96 48 54
48 None 59
59 56 44
56 None 50
50 None 4
4 24 53
24 None 23
23 None None
53 None None
44 None 7
7 None None
54 21 94
21 82 None
82 None 67
67 None None
94 None 0
0 49 None
49 None 93
93 None None
21 96 17
96 42 60
42 None 77
77 None 40
40 None None
60 None None
17 None 7
7 None None
92 None 68
68 None 16
16 None None
Tree 1
45 2 80
2 99 19
99 95 2
95 None 12
12 34 33
34 None 96
96 None 71
71 None None
33 None None
2 None None
19 0 55
0 None None
55 99 61
99 92 76
92 None None
76 None None
61 None None
80 17 86
17 32 60
32 58 92
58 None None
92 None 0
0 49 None
49 None None
60 88 None
88 None 58
58 88 None
88 72 None
72 72 67
72 43 None
43 64 None
64 None None
67 None None
86 26 50
26 58 None
58 None 14
14 99 None
99 None None
50 40 63
40 26 98
26 None None
98 91 2
91 44 87
44 66 None
66 None 57
57 16 None
16 None None
87 100 40
100 71 77
71 None None
77 42 32
42 98 None
98 None None
32 None None
40 None None
2 None None
63 75 4
75 None 10
10 None None
4 85 None
85 4 None
4 74 None
74 None None
Tree 2
10 65 39
65 44 76
44 0 None
0 85 1
85 52 10
52 None 13
13 None None
10 None None
1 90 50
90 76 None
76 None None
50 89 96
89 None 40
40 None None
96 None 8
8 None None
76 None 81
81 60 26
60 None None
26 10 20
10 None 100
100 None 10
10 26 None
26 None 7
7 None None
20 89 88
89 28 None
28 None None
88 45 97
45 None None
97 None 68
68 13 None
13 None None
39 19 69
19 None None
69 None None
Tree 3
96 27 93
27 44 38
44 5 72
5 63 10
63 0 None
0 None None
10 40 88
40 7 None
7 None 26
26 None None
88 66 None
66 None None
72 80 7
80 3 22
3 None 43
43 None None
22 None None
7 67 98
67 40 27
40 92 None
92 None None
27 21 None
21 35 45
35 97 None
97 None None
45 52 17
52 None 25
25 None None
17 None None
98 None 12
12 None None
38 86 None
86 None 80
80 None 60
60 None 80
80 41 None
41 18 None
18 None None
93 None 3
3 55 58
55 None 66
66 None None
58 46 23
46 None None
23 None 35
35 None None
Tree 4
16 89 9
89 None None
9 0 64
0 96 7
96 None None
7 47 87
47 None None
87 52 73
52 31 32
31 None 89
89 21 39
21 None 14
14 None None
39 89 None
89 None None
32 None None
73 None None
64 64 7
64 96 1
96 None 69
69 48 86
48 None None
86 None None
1 75 43
75 None 70
70 None None
43 None 92
92 19 None
19 None None
7 100 70
100 None 47
47 None None
70 98 54
98 30 46
30 24 54
24 None None
54 None None
46 None None
54 None None
Tree 5
67 16 8
16 None 32
32 90 44
90 None None
44 None None
8 41 65
41 78 None
78 59 None
59 36 None
36 None 90
90 None None
65 62 45
62 78 92
78 90 1
90 None 47
47 56 16
56 95 None
95 None None
16 None None
1 3 None
3 None None
92 71 25
71 62 None
62 8 69
8 None None
69 36 58
36 None None
58 72 None
72 None None
25 91 97
91 None None
97 57 None
57 7 None
7 39 None
39 None None
45 35 None
35 34 17
34 78 None
78 None 99
99 40 64
40 None None
64 None None
17 77 52
77 63 48
63 54 None
54 None 19
19 None None
48 39 87
39 None 5
5 None None
87 86 None
86 None 100
100 None 35
35 None None
52 68 None
68 None None
Tree 6
60 33 48
33 79 17
79 37 66
37 97 None
97 None None
66 None 21
21 None None
17 25 46
25 69 None
69 39 9
39 None None
9 38 None
38 None None
46 14 44
14 None None
44 None 58
58 28 27
28 34 81
34 None 46
46 12 None
12 39 None
39 None None
81 None None
27 None None
48 16 None
16 27 11
27 78 58
78 48 11
48 None 83
83 None None
11 36 None
36 None None
58 41 36
41 None None
36 None 58
58 None 27
27 None None
11 78 65
78 None None
65 36 26
36 None None
26 None 58
58 84 45
84 None 79
79 None None
45 92 None
92 None 69
69 None None
Tree 7
78 34 58
34 76 67
76 59 78
59 None 93
93 None 52
52 None None
78 25 None
25 77 73
77 89 None
89 46 None
46 None None
73 None 52
52 None None
67 30 52
30 17 81
17 None None
81 46 None
46 None None
52 37 None
37 None None
58 92 88
92 None None
88 13 0
13 78 65
78 42 None
42 74 49
74 None 40
40 None None
49 None None
65 None 72
72 85 86
85 24 None
24 None None
86 None None
0 11 98
11 12 None
12 None None
98 None None
Tree 8
29 47 21
47 72 35
72 39 73
39 None None
73 None None
35 None 27
27 None None
21 67 71
67 92 None
92 29 10
29 54 22
54 21 None
21 None None
22 74 None
74 21 None
21 None None
10 86 11
86 None 26
26 96 48
96 19 35
19 None 20
20 None None
35 None 80
80 None None
48 None 32
32 None None
11 None 87
87 40 6
40 None None
6 64 None
64 None None
71 45 82
45 76 None
76 None None
82 62 None
62 71 14
71 None None
14 33 None
33 None None
Tree 9
53 40 28
40 13 42
13 24 99
24 21 6
21 None 42
42 1 None
1 None None
6 23 58
23 82 None
82 3 None
3 None None
58 63 None
63 None 53
53 None None
99 11 None
11 99 None
99 None None
42 None 56
56 77 None
77 None None
28 6 64
6 84 53
84 None None
53 1 56
1 37 10
37 72 None
72 None None
10 None None
56 None 79
79 None None
64 89 14
89 79 None
79 None None
14 83 38
83 None None
38 None None
Tree 10
41 30 85
30 25 71
25 79 None
79 44 49
44 None None
49 None None
71 77 86
77 None 0
0 None None
86 24 None
24 None None
85 90 61
90 50 49
50 97 34
97 54 13
54 80 None
80 None None
13 58 12
58 None None
12 None None
34 None 93
93 9 11
9 None 73
73 None 26
26 None None
11 77 75
77 15 88
15 None None
88 94 None
94 None None
75 None None
49 None None
61 29 98
29 45 34
45 54 39
54 97 None
97 None None
39 96 None
96 None None
34 8 5
8 62 None
62 68 87
68 None None
87 None None
5 76 81
76 None None
81 None None
98 None None
Tree 11
16 31 42
31 64 54
64 1 62
1 69 34
69 39 None
39 68 None
68 None None
34 None 58
58 35 100
35 None None
100 None None
62 None None
54 74 95
74 92 None
92 None None
95 None 50
50 87 None
87 None None
42 74 15
74 66 22
66 None None
22 None None
15 81 67
81 28 21
28 None 24
24 44 None
44 84 None
84 27 None
27 42 None
42 None None
21 None None
67 10 12
10 83 None
83 None 90
90 None None
12 None None
Tree 12
100 66 2
66 8 7
8 92 None
92 None None
7 35 96
35 81 93
81 92 77
92 44 4
44 93 39
93 None 95
95 None None
39 82 None
82 77 None
77 None None
4 None None
77 14 None
14 62 16
62 None 47
47 None None
16 36 22
36 9 63
9 49 None
49 None None
63 None None
22 23 None
23 None None
93 42 37
42 None None
37 53 34
53 None 48
48 None 51
51 None None
34 54 78
54 None 12
12 None None
78 81 17
81 None 96
96 None 98
98 5 24
5 14 None
14 None None
24 None None
17 42 75
42 None 3
3 None 95
95 None None
75 None None
96 24 20
24 41 None
41 None None
20 92 99
92 22 49
22 None 68
68 None None
49 78 None
78 5 57
5 None None
57 None None
99 None 80
80 None None
2 None None
Tree 13
14 39 75
39 2 None
2 None 25
25 None None
75 60 26
60 98 45
98 29 None
29 25 70
25 18 None
18 None 94
94 None None
70 None None
45 None 68
68 None 81
81 None 83
83 None None
