Tree 0
72 8 69
8 None None
69 5 34
5 97 71
97 60 82
60 98 None
98 23 None
23 None None
82 None 76
76 None None
71 40 40
40 None None
40 None 85
85 None None
34 87 51
87 None None
51 52 72
52 None 98
98 None None
72 28 71
28 87 79
87 78 89
78 None 66
66 15 None
15 None None
89 None 58
58 67 None
67 None None
79 None None
71 None None
Tree 1
1 12 21
12 71 5
71 68 None
68 74 49
74 27 None
27 None None
49 None None
5 5 41
5 None None
41 41 34
41 87 None
87 None None
34 54 None
54 7 None
7 None None
21 20 44
20 None None
44 67 83
67 16 34
16 10 None
10 None 14
14 None None
34 None None
83 25 40
25 None 36
36 100 None
100 None None
40 94 None
94 None None
Tree 2
9 51 None
51 60 55
60 46 53
46 62 10
62 6 None
6 None None
10 44 93
44 None None
93 None None
53 None 1
1 None None
55 1 4
1 69 None
69 74 38
74 None 17
17 8 None
8 11 None
11 None 20
20 None None
38 61 None
61 None None
4 16 93
16 None None
93 None 8
8 None None
Tree 3
64 24 69
24 54 85
54 51 66
51 17 46
17 None None
46 None 83
83 None None
66 None 29
29 None 37
37 None None
85 None None
69 38 51
38 37 None
37 52 None
52 None 0
0 None None
51 None 91
91 None None
Tree 4
68 19 None
19 20 31
20 47 None
47 None None
31 62 23
62 None 39
39 44 97
44 None None
97 28 94
28 90 22
90 70 None
70 38 None
38 None None
22 None None
94 None None
23 1 2
1 70 23
70 48 85
48 31 71
31 None None
71 None None
85 34 None
34 53 14
53 None None
14 None None
23 29 78
29 None None
78 None 11
11 None None
2 8 None
8 None None
Tree 5
96 44 43
44 10 None
10 57 93
57 None 64
64 None None
93 89 None
89 None None
43 37 47
37 28 3
28 None None
3 86 None
86 None 80
80 None None
47 74 8
74 None None
8 55 36
55 46 None
46 None 59
59 42 12
42 99 None
99 None 19
19 None None
12 None 57
57 None None
36 24 17
24 39 None
39 None None
17 None None
Tree 6
23 56 59
56 54 98
54 0 15
0 None None
15 17 None
17 42 49
42 None 19
19 None None
49 6 None
6 64 71
64 0 None
0 None 30
30 None None
71 None 92
92 None None
98 None 87
87 76 None
