Tree 0
56 30 80
30 17 34
17 None 23
23 22 27
22 None None
27 None None
34 None 42
42 None 44
44 None 51
51 49 None
49 None None
80 63 88
63 61 76
61 None None
76 64 77
64 None 73
73 65 74
65 None 70
70 None None
74 None None
77 None 78
78 None None
88 85 94
85 83 None
83 None None
94 89 98
89 None 91
91 None None
98 None None
Tree 1
7 5 35
5 4 None
4 None None
35 16 85
16 13 17
13 None None
17 None 33
33 32 None
32 22 None
22 None None
85 45 88
45 43 71
43 None None
71 67 78
67 47 None
47 None 60
60 None None
78 72 None
72 None 76
76 None None
88 87 92
87 None None
92 89 None
89 None None
Tree 2
41 17 91
17 4 29
4 None 9
9 None None
29 27 32
27 18 None
18 None 22
22 19 None
19 None None
32 None None
91 88 93
88 59 90
59 44 61
44 None 55
55 52 None
52 None None
61 None 78
78 66 79
66 65 77
65 None None
77 71 None
71 None None
79 None None
90 89 None
89 None None
93 None 99
99 94 None
94 None 98
98 None None
Tree 3
76 46 87
46 29 52
29 19 37
19 4 28
4 0 17
0 None None
17 13 None
13 10 None
10 None None
28 23 None
23 None None
37 35 None
35 None None
52 None 70
70 61 72
61 None None
72 None None
87 78 98
78 None 84
84 None None
98 97 None
97 96 None
96 88 None
88 None 91
91 None None
Tree 4
54 13 91
13 12 20
12 7 None
7 None None
20 19 42
19 None None
42 35 47
35 None 36
36 None 37
37 None None
47 None 48
48 None None
91 67 99
67 62 79
62 None 66
66 None None
79 72 89
72 None 77
77 75 None
75 None None
89 88 None
88 87 None
87 None None
99 98 None
98 None None
Tree 5
80 52 88
52 37 62
37 17 41
17 4 27
4 None None
27 18 35
18 None 26
26 25 None
25 22 None
22 None None
35 None None
41 40 48
40 38 None
38 None None
48 None None
62 None 69
69 None None
88 84 99
84 None 87
87 None None
99 94 None
94 None None
Tree 6
56 32 77
32 6 47
6 None 28
28 None 31
31 30 None
30 None None
47 34 None
34 None 46
46 44 None
44 None None
77 61 87
61 59 75
59 None None
75 69 None
69 67 None
67 None None
87 85 91
85 82 None
82 81 None
81 None None
91 None 94
94 None 95
95 None None
Tree 7
43 25 59
25 24 39
24 3 None
3 None 20
20 None 22
22 None None
39 37 None
37 36 38
36 29 None
29 28 None
28 None None
38 None None
59 49 66
49 45 55
45 None None
55 None None
66 62 85
62 60 None
60 None None
85 73 None
73 67 75
67 None None
75 74 81
74 None None
81 None None
Tree 8
68 52 99
52 5 64
5 None 13
13 None 36
36 14 44
14 None 23
23 17 29
17 None None
29 None 31
31 None None
44 None 49
49 None None
64 53 None
53 None 59
59 None None
99 96 None
96 73 None
73 71 87
71 None None
87 None 95
95 None None
Tree 9
81 31 96
31 30 54
30 29 None
29 24 None
24 5 26
5 None None
26 None None
54 43 68
43 39 44
39 None None
44 None 52
52 None None
68 56 74
56 None 63
63 61 65
61 None None
65 None None
74 73 76
73 None None
76 None None
96 94 None
94 83 None
83 None 90
90 None None
Tree 10
47 6 64
6 5 23
5 4 None
4 None None
23 17 45
17 9 None
9 8 12
8 7 None
7 None None
12 None None
45 27 None
27 25 30
25 24 None
24 None None
30 None None
64 51 70
51 48 None
48 None None
70 65 97
65 None 66
66 None None
97 82 None
82 73 94
73 None None
94 87 None
87 83 91
83 None None
91 89 None
89 None None
Tree 11
54 29 60
29 4 36
4 0 12
0 None None
12 11 19
11 None None
19 None 26
26 20 None
20 None None
36 33 44
33 31 None
31 None None
44 39 48
39 None None
48 None 49
49 None None
60 None 91
91 77 92
77 65 83
65 None 68
68 None 69
69 None None
83 81 85
81 None None
85 None None
92 None 96
96 None None
Tree 12
45 3 69
3 None 15
15 4 19
4 None 7
7 None None
19 18 34
18 None None
34 23 None
23 None None
69 64 92
64 62 65
62 60 None
60 58 None
58 49 None
49 None 55
55 None None
65 None None
92 71 97
71 None 86
86 74 91
74 73 None
73 None None
91 None None
97 95 None
95 94 None
94 None None
Tree 13
12 4 97
4 None 11
11 None None
97 59 99
59 31 73
31 14 47
14 None 29
29 16 None
16 None None
47 42 48
42 37 45
37 None None
45 None None
48 None 51
51 None None
73 72 88
72 66 None
66 None 71
71 None None
88 77 92
77 75 83
75 None None
83 80 None
80 None None
92 None None
99 None None
Tree 14
75 3 97
3 None 43
43 23 63
23 None 34
34 27 None
27 None None
63 49 74
49 46 52
46 None None
52 50 53
50 None None
53 None None
74 73 None
73 67 None
67 None None
97 89 None
89 76 96
76 None 81
81 80 88
80 None None
88 None None
96 None None
Tree 15
28 14 95
14 0 16
0 None 4
4 None 12
12 6 None
6 None None
16 None 24
24 19 27
19 None 23
23 None None
27 None None
95 43 98
43 40 53
40 35 42
35 31 None
31 None None
42 None None
53 45 65
45 None 49
49 46 None
46 None None
65 55 85
55 None 63
63 None None
85 84 92
84 None None
92 None None
98 None 99
99 None None
Tree 16
53 38 59
38 35 43
35 24 37
24 2 31
2 None None
31 29 32
29 None None
32 None None
37 None None
43 None 49
49 None 50
50 None None
59 58 81
58 57 None
57 54 None
54 None None
81 71 85
71 65 72
65 None None
72 None 78
78 None None
85 84 91
84 None None
91 88 None
88 None 89
89 None None
Tree 17
32 1 90
1 None 10
10 7 17
7 5 None
5 None None
17 14 30
14 None None
30 18 None
18 None 24
24 None None
90 47 92
47 45 71
45 42 None
42 39 43
39 38 None
38 None None
43 None None
71 56 82
56 None 69
69 61 70
61 None None
70 None None
82 72 None
72 None 74
74 73 None
73 None None
92 91 94
91 None None
94 None None
Tree 18
34 11 57
11 7 19
7 2 9
2 None None
9 None None
19 None 20
20 None 28
28 24 30
24 None None
30 None None
57 53 63
53 49 54
49 36 50
36 None None
50 None None
54 None None
63 59 67
59 None None
67 64 83
64 None None
83 68 91
68 None 71
71 70 80
70 None None
80 None None
91 89 None
89 None 90
90 None None
Tree 19
2 0 66
0 None None
66 37 70
37 30 46
30 24 36
24 12 29
12 None 18
18 14 None
14 None None
29 None None
36 31 None
31 None None
46 45 48
45 None None
48 None None
70 69 85
69 None None
85 79 96
79 None 80
80 None None
96 90 None
90 None 91
91 None None
Tree 20
14 1 56
1 None None
56 39 80
39 32 50
32 None 33
33 None 37
37 None None
50 46 54
46 43 49
43 42 44
42 None None
44 None None
49 None None
54 None None
80 79 96
79 75 None
75 68 None
68 59 None
59 None None
96 95 97
95 82 None
82 None None
97 None None
Tree 21
55 9 89
9 3 12
3 0 None
0 None None
12 None 26
26 18 37
18 13 None
13 None 15
15 None 16
16 None None
37 30 None
30 None None
89 59 91
59 56 68
56 None 57
57 None None
68 None 86
86 80 None
80 75 None
75 None None
91 None 96
96 None 99
99 None None
Tree 22
97 34 None
34 10 83
10 3 11
3 None None
11 None 19
19 None None
83 41 90
41 None 79
79 67 80
67 43 77
43 42 65
42 None None
65 56 None
56 55 57
55 48 None
48 None None
57 None None
77 73 None
73 None None
80 None 82
82 None None
90 88 None
88 None None
Tree 23
73 51 99
51 13 59
13 7 17
7 None 11
11 10 None
10 None None
17 None 38
38 29 40
29 23 36
23 None 24
24 None None
36 None None
40 39 44
39 None None
44 43 None
43 None None
59 None 61
61 60 68
60 None None
68 None 71
71 69 None
69 None None
99 78 None
78 75 81
75 None None
81 80 92
80 None None
92 87 None
87 None None
Tree 24
51 28 63
28 9 None
9 0 14
0 None None
14 None 24
24 15 None
15 None 16
16 None 22
22 None None
63 55 98
55 54 56
54 None None
56 None None
98 70 None
70 66 95
66 None 68
68 67 None
67 None None
95 92 None
92 91 None
91 89 None
89 87 None
87 75 None
75 None None
Tree 25
18 9 58
9 6 11
6 None None
11 None None
58 23 70
23 None 33
33 24 40
24 None None
40 38 55
38 34 None
34 None None
55 None None
70 68 85
68 67 None
67 None None
85 72 92
72 None 79
79 None 84
84 None None
92 91 98
91 None None
98 None None
Tree 26
10 0 90
0 None 8
8 None None
90 16 99
16 None 82
82 49 84
49 18 73
18 17 36
17 None None
36 25 48
25 None None
48 None None
73 58 81
58 None None
81 75 None
75 None 79
79 None None
84 83 87
83 None None
87 None None
99 94 None
94 None 95
95 None 98
98 None None
Tree 27
94 15 95
15 12 57
12 2 None
2 None 10
10 7 11
7 None None
11 None None
57 35 75
35 19 48
19 None 29
29 23 33
23 None None
33 None None
48 40 50
40 None 44
44 None None
50 None 54
54 52 None
52 None None
75 67 86
67 60 71
60 None None
71 None 72
72 None None
86 76 93
76 None 83
83 None None
93 None None
95 None None
Tree 28
24 6 43
6 1 16
1 None None
16 11 18
11 None None
18 17 19
17 None None
19 None None
43 38 50
38 None None
50 48 64
48 46 None
46 None None
64 60 76
60 59 None
59 None None
76 72 79
72 67 None
67 None None
79 None 97
97 86 None
86 84 96
84 None None
96 None None
Tree 29
31 13 84
13 2 17
2 None 9
9 None 10
10 None None
17 None 29
29 None None
84 59 93
59 52 83
52 49 58
49 46 None
46 None None
58 55 None
55 53 None
53 None None
83 82 None
82 71 None
71 None 79
79 77 81
77 None None
81 None None
93 89 None
89 None None
