Tree 0
44 14 47
14 1 23
1 None None
23 18 39
18 None None
39 None None
47 None 48
48 None 62
62 58 71
58 49 None
49 None None
71 None 80
80 None None
Tree 1
24 4 68
4 2 12
2 None None
12 None None
68 49 95
49 45 65
45 29 None
29 None None
65 53 None
53 None 55
55 None None
95 84 None
84 73 90
73 None None
90 None None
Tree 2
12 11 67
11 2 None
2 None 5
5 None None
67 21 82
21 19 62
19 18 None
18 None None
62 42 None
42 25 48
25 None None
48 45 None
45 None None
82 81 84
81 69 None
69 None None
84 None 90
90 None None
Tree 3
22 4 52
4 None 9
9 None None
52 46 95
46 24 None
24 None 40
40 27 None
27 None None
95 75 99
75 None None
99 97 None
97 None None
Tree 4
67 19 70
19 17 52
17 14 None
14 10 None
10 7 None
7 None None
52 29 None
29 28 None
28 None None
70 None 88
88 72 93
72 None None
93 None None
Tree 5
53 36 81
36 15 None
15 2 27
2 None 10
10 6 None
6 None None
27 None None
81 80 87
80 60 None
60 None 66
66 None None
87 None 91
91 None 94
94 None 99
99 None None
Tree 6
79 32 80
32 20 70
20 None 22
22 None 26
26 None None
70 44 None
44 43 69
43 33 None
33 None None
69 None None
80 None 83
83 None 97
97 89 None
89 None None
Tree 7
93 88 None
88 50 89
50 4 56
4 None 21
21 17 29
17 6 None
6 None 7
7 None None
29 None 35
35 30 36
30 None None
36 None None
56 None 63
63 58 83
58 None None
83 None None
89 None None
Tree 8
13 None 44
44 35 56
35 29 None
29 None None
56 51 96
51 None None
96 68 98
68 59 90
59 None None
90 80 92
80 71 None
71 None None
92 None None
98 None None
Tree 9
88 0 95
0 None 87
87 28 None
28 27 60
27 None None
60 35 81
35 None 49
49 48 54
48 41 None
41 None 44
44 None None
54 None None
81 None None
95 92 None
92 None None
Tree 10
77 19 96
19 8 56
8 None 9
9 None 12
12 None None
56 29 71
29 None 40
40 None None
71 63 None
63 None None
96 None 99
99 98 None
98 None None
Tree 11
46 15 84
15 11 19
11 3 None
3 None 4
4 None None
19 None 26
26 None 42
42 None None
84 48 91
48 None 69
69 None 80
80 None None
91 89 None
89 86 None
86 None None
Tree 12
23 21 26
21 18 None
18 None None
26 None 33
33 None 92
92 45 95
45 36 65
36 None None
65 None 68
68 None None
95 None None
Tree 13
53 43 64
43 39 49
39 6 40
6 None 16
16 11 19
11 None None
19 None 25
25 None 34
34 None None
40 None None
49 None None
64 62 74
62 None None
74 None 92
92 None None
Tree 14
74 20 96
20 9 54
9 1 16
1 None 2
2 None None
16 None None
54 39 56
39 35 49
35 None None
49 None None
56 None 63
63 None None
96 88 None
88 78 None
78 None None
Tree 15
46 22 55
22 18 42
18 None None
42 28 None
28 27 38
27 None None
38 None None
55 48 72
48 None None
72 69 82
69 66 None
66 None None
82 None None
Tree 16
96 53 None
53 13 69
13 10 43
10 None None
43 30 None
30 20 35
20 None None
35 None None
69 60 71
60 None 68
68 None None
71 None None
Tree 17
20 12 43
12 10 14
10 1 None
1 None 2
2 None None
14 None None
43 26 53
26 None None
53 48 87
48 None None
87 71 91
71 66 72
66 None None
72 None None
91 None None
Tree 18
9 7 83
7 None None
83 49 98
49 18 50
18 10 20
10 None None
20 None 40
40 32 None
32 None 33
33 None None
50 None 73
73 54 None
54 None 70
70 66 None
66 None None
98 None None
Tree 19
69 17 71
17 12 46
12 None 15
15 None None
46 20 59
20 None 42
42 35 None
35 None None
59 49 66
49 None None
66 None None
71 None 76
76 None 79
79 None 84
84 None None
Tree 20
69 53 80
53 46 63
46 0 None
0 None 24
24 23 44
23 10 None
10 None 14
14 None 16
16 None None
44 33 None
33 None None
63 60 None
60 None None
80 75 81
75 None None
81 None 84
84 None 98
98 94 None
94 None None
Tree 21
6 5 14
5 None None
14 13 86
13 None None
86 37 None
37 22 59
22 None 28
28 None 33
33 None None
59 56 70
56 55 None
55 None None
70 63 82
63 None 66
66 None None
82 79 85
79 None None
85 None None
Tree 22
9 4 37
4 None None
37 20 76
20 18 None
18 None None
76 59 81
59 42 74
42 38 None
38 None None
74 66 None
66 None 68
68 None None
81 78 87
78 None None
87 None 96
96 None None
Tree 23
52 14 57
14 10 37
10 None None
37 35 None
35 None 36
36 None None
57 55 97
55 None None
97 74 None
74 68 89
68 61 None
61 None 65
65 None None
89 None None
Tree 24
86 77 98
77 24 None
24 14 30
14 1 20
1 None None
20 None None
30 None 67
67 61 76
61 41 65
41 None 47
47 None None
65 None None
76 None None
98 None None
Tree 25
96 77 None
77 34 88
34 24 75
24 3 None
3 1 20
1 None None
20 None None
75 59 None
59 47 73
47 None 58
58 None None
73 None None
88 None None
Tree 26
29 6 82
6 None 10
10 None 26
26 17 None
17 None None
82 30 94
30 None 66
66 42 None
42 37 None
37 None None
94 None 96
96 None None
Tree 27
36 35 55
35 5 None
5 None 9
9 None None
55 40 84
40 38 None
38 None None
84 61 97
61 58 None
58 None None
97 93 None
93 85 95
85 None None
95 None None
Tree 28
4 None 33
33 31 83
31 10 None
10 None 12
12 None None
83 43 85
43 42 73
42 None None
73 69 None
69 None None
85 None 88
88 None None
Tree 29
51 10 80
10 9 42
9 None None
42 27 None
27 24 34
24 None None
34 32 None
32 None None
80 75 92
75 55 None
55 None 74
74 65 None
65 59 66
59 None None
66 None None
92 90 94
90 None None
94 None 99
99 None None
