Tree 0
22 b
16 b
4 b
2 r
#
#
12 r
#
#
20 b
#
#
42 b
32 r
26 b
#
30 r
#
#
38 b
#
#
83 r
54 b
44 r
#
#
71 r
#
#
96 b
#
#
Tree 1
53 b
27 b
19 b
18 r
#
#
21 r
#
#
36 b
28 r
#
#
40 r
#
#
75 b
66 r
58 b
#
#
73 b
67 r
#
#
#
82 b
81 r
#
#
#
Tree 2
51 b
33 b
8 b
3 r
#
#
13 r
#
#
45 r
42 b
37 r
#
#
#
46 b
#
49 r
#
#
69 b
68 b
54 r
#
#
#
93 r
88 b
86 r
#
#
90 r
#
#
98 b
#
#
Tree 3
55 b
39 b
15 r
3 b
#
#
33 b
24 r
#
#
#
51 b
#
#
77 b
72 b
#
76 r
#
#
80 b
#
#
Tree 4
40 b
15 b
12 b
0 r
#
#
14 r
#
#
25 r
16 b
#
#
30 b
29 r
#
#
#
76 b
49 r
44 b
42 r
#
#
#
71 b
64 r
#
#
72 r
#
#
91 b
85 r
#
#
#
Tree 5
54 b
44 b
17 r
8 b
#
#
30 b
#
31 r
#
#
46 b
#
#
82 b
74 r
72 b
#
73 r
#
#
81 b
#
#
94 b
92 r
#
#
#
Tree 6
34 b
10 r
4 b
2 r
#
#
6 r
#
#
20 b
#
22 r
#
#
75 r
51 b
44 r
#
#
#
76 b
#
#
Tree 7
65 b
20 b
14 b
#
18 r
#
#
49 r
21 b
#
45 r
#
#
62 b
#
#
88 b
86 b
71 r
#
#
87 r
#
#
97 r
90 b
#
96 r
#
#
99 b
#
#
Tree 8
63 b
32 b
14 r
0 b
#
#
26 b
22 r
#
#
#
49 r
42 b
39 r
#
#
#
55 b
#
59 r
#
#
73 b
68 b
#
#
75 b
#
96 r
#
#
Tree 9
61 b
42 r
13 b
8 b
#
#
30 r
23 b
15 r
#
#
#
37 b
#
#
55 b
49 b
#
#
59 b
58 r
#
#
#
76 b
73 b
#
#
94 b
86 r
#
#
96 r
#
#
Tree 10
53 b
14 b
6 b
#
10 r
#
#
28 r
20 b
19 r
#
#
#
43 b
#
#
85 b
64 r
63 b
#
#
75 b
70 r
#
#
79 r
#
#
90 b
#
97 r
#
#
Tree 11
26 b
11 b
6 b
#
#
18 r
15 b
14 r
#
#
16 r
#
#
23 b
#
#
66 b
45 b
44 r
#
#
62 r
#
#
87 r
82 b
70 r
#
#
86 r
#
#
91 b
90 r
#
#
93 r
#
#
Tree 12
34 b
5 b
4 b
#
#
21 r
10 b
8 r
#
#
#
28 b
#
#
55 b
51 b
46 r
#
#
#
74 r
62 b
56 r
#
#
66 r
#
#
92 b
89 r
#
#
#
Tree 13
69 b
23 b
20 b
#
#
55 r
34 b
30 r
#
#
42 r
#
#
62 b
59 r
#
#
65 r
#
#
75 b
72 b
71 r
#
#
#
92 r
91 b
86 r
#
#
#
97 b
96 r
#
#
#
Tree 14
62 b
31 r
15 b
#
18 r
#
#
51 b
37 r
#
#
55 r
#
#
67 r
63 b
#
#
82 b
81 r
#
#
#
Tree 15
44 b
21 b
10 r
0 b
#
#
18 b
17 r
#
#
19 r
#
#
36 b
25 r
#
#
43 r
#
#
74 b
54 b
49 r
#
#
#
82 b
78 r
#
#
84 r
#
#
Tree 16
60 b
32 b
5 r
1 b
#
#
21 b
14 r
#
#
25 r
#
#
51 r
38 b
#
50 r
#
#
57 b
54 r
#
#
#
78 b
76 b
74 r
#
#
#
90 b
80 r
#
#
97 r
#
#
Tree 17
16 b
6 b
2 b
#
#
7 b
#
14 r
#
#
45 b
33 r
27 b
21 r
#
#
32 r
#
#
36 b
#
#
75 r
48 b
#
61 r
#
#
83 b
#
#
Tree 18
87 b
48 r
15 b
#
16 r
#
#
70 b
63 r
#
#
77 r
#
#
90 r
89 b
88 r
#
#
#
92 b
#
#
Tree 19
48 b
4 b
3 b
#
#
42 r
27 b
25 r
#
#
41 r
#
#
43 b
#
#
78 b
61 b
50 r
#
#
63 r
#
#
91 r
88 b
#
89 r
#
#
96 b
#
97 r
#
#
Tree 20
55 b
22 b
7 r
4 b
2 r
#
#
#
14 b
#
#
49 b
26 r
#
#
#
89 b
75 r
64 b
59 r
#
#
71 r
#
#
80 b
#
#
99 b
#
#
Tree 21
73 b
28 b
14 b
1 r
#
#
#
60 r
52 b
#
58 r
#
#
64 b
#
#
94 b
88 b
83 r
#
#
90 r
#
#
97 b
#
#
Tree 22
20 b
15 r
10 b
3 r
#
#
#
17 b
#
#
38 r
36 b
23 r
#
#
#
73 b
52 r
#
#
88 r
#
#
Tree 23
54 b
23 b
13 r
2 b
#
#
16 b
#
#
34 r
31 b
#
33 r
#
#
42 b
#
48 r
#
#
83 b
71 b
#
80 r
#
#
97 b
#
#
Tree 24
49 b
8 r
1 b
0 r
#
#
5 r
#
#
12 b
#
16 r
#
#
76 r
69 b
52 r
#
#
#
86 b
#
91 r
#
#
Tree 25
44 b
15 b
13 b
#
14 r
#
#
39 r
18 b
16 r
#
#
26 r
#
#
40 b
#
42 r
#
#
85 b
78 r
48 b
45 r
#
#
58 r
#
#
83 b
#
#
95 b
89 r
#
#
96 r
#
#
Tree 26
26 b
19 b
5 r
2 b
0 r
#
#
4 r
#
#
11 b
#
#
22 b
20 r
#
#
#
77 b
69 r
55 b
44 r
#
#
#
76 b
#
#
84 r
82 b
81 r
#
#
#
89 b
#
95 r
#
#
Tree 27
31 b
19 r
18 b
10 r
#
#
#
25 b
#
#
60 r
37 b
#
53 r
#
#
97 b
64 r
#
#
98 r
#
#
Tree 28
73 b
26 b
11 b
7 r
#
#
12 r
#
#
57 r
27 b
#
#
63 b
58 r
#
#
70 r
#
#
87 b
80 b
76 r
#
#
85 r
#
#
97 b
88 r
#
#
#
Tree 29
